"This account is not approved.","This account is not approved."
"Thank you for registering with %1. Your account added for review, you will get an email when it is approved.","Thank you for registering with %1. Your account added for review, you will get an email when it is approved."
"The account associated with the %customer_email email has been approved.","The account associated with the %customer_email email has been approved."
